shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
老北京羊蝎子火锅(光荣道店),4.8,730,87,本溪路/丁字沽,羊蝎子火锅
Jiang味新疆餐厅,4.5,581,52,本溪路/丁字沽,新疆菜
臻味斋,4.7,357,37,芥园道/复兴路,天津菜
53℃鱼黑豆花水煮活鱼(陆家嘴店),3.6,14,,芥园道/复兴路,酸菜鱼/水煮鱼
玖牧乡霖•冰煮羊•烧烤(欧亚达店),4.8,168,65,邵公庄/创意街,牛羊肉火锅
伊兰津范儿,4.5,1221,60,芥园道/复兴路,特色菜
津韵巷子卤煮•小酒馆,3.9,10,,前园桥,京菜
喜福缘私房菜,4.0,56,120,大胡同/天津之眼,私房菜
绿色庄园(陆家嘴店),4.8,957,102,芥园道/复兴路,韩国料理
韩喜馆韩国料理韩式烤肉(水游城店),4.6,388,88,鹏欣水游城/大丰路,韩式烤肉
沙拉牛排,3.9,7,,凯莱赛/西沽,牛排
旺顺阁·新京菜(陆家嘴店),4.8,1546,135,芥园道/复兴路,京菜
渔乡春竹,4.2,26,,红桥区,鱼火锅
佳肴居胡掰掰工作室,3.9,5,,创意街/水木天成,其他美食
盛鑫旋转火锅,3.8,7,,凯莱赛/西沽,小火锅
嘉禾顺小馆·回民菜,4.4,249,45,凯莱赛/西沽,特色菜
Deer Park鹿园西餐(陆家嘴店),4.9,5346,148,芥园道/复兴路,西餐
清真恩庆德饭庄(登发店),4.3,95,44,创意街/水木天成,家常菜
陈家屯火锅鸡(水木天成店),4.5,107,56,创意街/水木天成,炭火锅
天明老味烧烤,3.7,2,,长虹公园,融合烤肉
天津泛太平洋大酒店-海天楼中餐厅,4.8,648,160,大胡同/天津之眼,粤菜馆
小院水煮鱼,3.6,1,,芥园道/复兴路,酸菜鱼/水煮鱼
上官家西北菜(水游城店),4.3,535,60,鹏欣水游城/大丰路,西北民间菜
韩千炉·自助烤肉坊(欧亚达店),3.6,232,60,邵公庄/创意街,自助餐
比格比萨自助(天津陆家嘴店),4.9,1173,67,芥园道/复兴路,自助餐
