shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
汉沽大众海鲜馆,3.7,166,87.0,泉州路/广厦道,海鲜
泰阿泰·泰国餐厅(武清店),3.6,625,112.0,武清客运站,东南亚菜
都仨源火锅鸡(五一阳光店),4.7,468,61.0,中信广场,本地鸡窝火锅
春江饭店(雍阳西道店),3.5,6,,泉州路/广厦道,火锅
老船吧(武清店),4.2,2399,82.0,京津时尚广场/邮局,烤串
米一仙·成都小碗菜(武清保利店),3.4,38,79.0,保利/亨通花园,川菜馆
彤德莱火锅(金汇广场店),3.8,1181,68.0,六城/金汇广场,火锅
老二烧烤铜锅涮,3.5,1,,龙湾城/华北城,老北京火锅
木辛水水冰煮羊(天津首店),4.2,171,97.0,保利/亨通花园,火锅
御膳羊蝎子养生火锅(武清总店),4.0,214,88.0,佛罗伦萨小镇,羊蝎子火锅
捞三国火锅料理(保利店),4.6,906,93.0,保利/亨通花园,火锅
四川好吃馆,3.8,27,30.0,保利/亨通花园,川菜馆
Helens海伦司(天津荔隆广场店),3.6,1,,武清客运站,西餐
隆兴饭店·永旺羊汤(武清店),3.8,28,,保利/亨通花园,天津菜
清真老马炸串,4.3,153,28.0,中信广场,炸鸡炸串
前门羊大爷铜锅涮肉(万达店),3.7,177,90.0,北郑/泉州北路,老北京火锅
食家神碳自助串吧,3.2,202,43.0,泉州路/广厦道,烧烤烤串
大成特色一锅鲜,3.5,7,,王庆坨,火锅
明粤食坊(武清万达店),3.5,13,,北郑/泉州北路,广州菜
西域羊坊(静湖店),3.4,2,,龙湾城/华北城,牛羊肉火锅
半鱼仙妖山花椒烤鱼(武清店),4.0,65,,龙湾城/华北城,烤鱼
菇浪宇火锅(总店),4.4,4465,70.0,中信广场,火锅
老兵尼特火锅烧烤,3.5,1,,北郑/泉州北路,牛羊肉火锅
艾啃羊棒骨火锅·麻辣甲鱼,3.4,16,,徐官屯/小东庄,羊蝎子火锅
厨禾日记时尚餐吧(凯旋王国店),4.0,215,94.0,佛罗伦萨/威尼都,烤串
前门羊大爷铜锅涮肉(荔隆广场店),3.8,449,70.0,武清客运站,老北京火锅
岳大府自助串串香火锅,3.7,86,74.0,中信广场,自助餐
屯老二农家铁锅炖(大光明店),4.1,414,98.0,武清客运站,东北菜
跳舞火涮烤食材(保利金街店),3.5,10,,保利/亨通花园,火锅
营市胡同包子铺,3.7,5,,佛罗伦萨小镇,特色菜
中华鲟鱼馆,4.2,51,89.0,武清区,海鲜
李记铜锅涮肉火锅鸡羊蝎子,3.5,4,,保利/亨通花园,炭火锅
炉中火延边朝鲜族烤串(保利店),3.9,190,87.0,保利/亨通花园,烤串
逸之鹅打边炉,3.7,52,291.0,徐官屯/小东庄,海鲜
大华铜锅涮鲜肉,3.8,40,76.0,武清区,炭火锅
北京阳坊胜利涮肉(武清保利店),4.2,150,101.0,保利/亨通花园,老北京火锅
天津菜馆(南湖店),3.9,394,95.0,武清区,天津菜
九田家黑牛烤肉料理(武清保利店),4.5,916,115.0,保利/亨通花园,韩式烤肉
苏尼特铁锅烀羊肉,3.5,2,,武清区,牛羊肉火锅
赵傻子傻子大饼羊杂(总店),3.9,27,32.0,武清区,羊蝎子火锅
广东味道(武清万达店),2.9,71,69.0,北郑/泉州北路,广州菜
火炉爱乐(韩国正宗烤肉店),4.8,667,85.0,武清客运站,韩式烤肉
云轩楼,3.6,1,,武清区,火锅
北京牛街爆肚(建设南路店),3.5,2,,泉州路/广厦道,京菜
豫固始鹅块,3.5,1,,徐官屯/小东庄,火锅
猪肚恋上鸡,3.6,30,61.0,北郑/泉州北路,猪肚鸡火锅
初见花厨(武清万达店),4.1,351,100.0,北郑/泉州北路,西餐
铜锅涮活鱼(武清店),3.5,7,,泉州路/广厦道,鱼火锅
内蒙·羊肉馆铜锅涮,3.5,4,,龙湾城/华北城,内蒙菜
0317火锅鸡(枫丹天城店),4.4,365,59.0,佛罗伦萨小镇,火锅
邢记王婆大虾铜锅涮肉,3.6,2,,武清区,老北京火锅
曾世巫山烤鱼(武清店),3.9,205,86.0,保利/亨通花园,干锅/香锅
妞嫂肉蟹煲(武清万达广场店),3.2,163,66.0,北郑/泉州北路,肉蟹煲
提拉米酥(香槟城店),3.5,17,,第六城,甜品
大草原炭火烤羊腿,3.8,117,99.0,京津时尚广场/邮局,烧烤烤串
