shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
三名草屋·苏面(浙江路店),4.6,198.0,142.0,小白楼,面馆,和平区
適園 宫廷菜,4.0,53.0,189.0,五大道,私房菜,和平区
村上一屋·日料寿司(天河城店),4.9,859.0,95.0,和平路,日本料理,和平区
南京大牌档(南京路世纪都会店),4.8,8772.0,66.0,滨江道,淮扬菜,和平区
117花园别墅,4.8,2032.0,362.0,五大道,上海本帮菜,和平区
南京大牌档(恒隆广场店),4.8,12310.0,69.0,和平路,淮扬菜,和平区
七爺想點就點(国贸购物中心店),4.8,3940.0,79.0,小白楼,茶餐厅,和平区
将太无二(环球金融中心餐厅),4.8,12136.0,168.0,和平路,日本料理,和平区
昱德来酒楼(和平店),4.4,3980.0,64.0,鞍山道沿线,天津菜,和平区
二番煮的客厅,4.9,1703.0,167.0,滨江道,日本料理,和平区
惊天日料·大福食堂,4.8,234.0,92.0,五大道,日本料理,和平区
鼎泰丰(恒隆广场店),4.8,5320.0,157.0,和平路,淮扬菜,和平区
旮旯海鲜和平店,4.6,752.0,119.0,和平路,海鲜,和平区
八号码头蒸汽海鲜(五大道店),4.8,2090.0,168.0,五大道,海鲜,和平区
外婆家(恒隆广场店),4.6,14227.0,67.0,和平路,浙菜,和平区
远成美悦大酒楼,4.3,427.0,132.0,海光寺/六里台,天津菜,和平区
鸿运打边炉,4.8,1293.0,164.0,五大道,打边炉/港式火锅,和平区
绿茶餐厅(天津天河城店),4.7,6265.0,75.0,和平路,浙菜,和平区
晚酌小酒馆(五大道店),4.8,1136.0,148.0,五大道,创意菜,和平区
点卯fire • 宅门一口酥烤鸭(五大道店),4.8,2130.0,137.0,五大道,烤鸭,和平区
大吉利·潮汕牛肉火锅(南开总店),4.9,15753.0,94.0,海光寺/六里台,潮汕牛肉火锅,和平区
门口小院大鱼泡饼特色狮子头家常菜,4.0,19.0,52.0,海光寺/六里台,天津菜,和平区
香炖八方·妈妈菜(和平店),4.1,422.0,64.0,西康路沿线,天津菜,和平区
La Fleur用心(和平店),4.9,8349.0,185.0,五大道,西餐,和平区
新疆阿里餐厅,4.5,2791.0,59.0,西康路沿线,新疆菜,和平区
人民公社大食堂(大悦城店),4.2,394.0,85.0,南市,东北菜,和平区
宝月楼台湾菜馆·海鲜家宴(成都道店),4.8,5343.0,161.0,五大道,海鲜,和平区
青年餐厅(津湾店),4.5,14519.0,95.0,和平路,烤鸭,和平区
海底捞火锅(华清店),4.9,2988.0,95.0,滨江道,四川火锅,和平区
肘子酥(哈密道店),4.7,1851.0,62.0,和平路,天津菜,和平区
铁真红焖羊肉 无分店,4.7,6799.0,33.0,西康路沿线,牛羊肉火锅,和平区
假装苏杭·桂雨山房(恒隆广场店),4.5,2938.0,119.0,和平路,苏浙菜,和平区
大悦屋(五大道店),4.7,412.0,108.0,五大道,日本料理,和平区
七味活牛蛙·干锅牛蛙旗舰店,4.9,1692.0,91.0,五大道,川菜馆,和平区
唐潮壹品(天津店),4.7,1743.0,343.0,小白楼,海鲜,和平区
通海俄式烧烤(和平滨江道店),4.9,1694.0,79.0,滨江道,烤串,和平区
金叉子印度餐厅,4.4,1509.0,116.0,西康路沿线,东南亚菜,和平区
回奶奶清真菜(五大道店),4.6,886.0,80.0,五大道,天津菜,和平区
德粤楼·猪肚鸡(滨江道店),4.7,697.0,102.0,滨江道,顺德菜,和平区
简坐(潼关道店),4.7,11119.0,89.0,滨江道,上海本帮菜,和平区
莎莎salsa·中国潮·酥皮烤鸭(旗舰店),4.9,3474.0,78.0,五大道,特色菜,和平区
膳堂琨小館(小白楼店),4.8,947.0,112.0,小白楼,烤串,和平区
宝月楼·台湾菜馆(天河城店),4.7,6544.0,81.0,和平路,台湾菜,和平区
炙上烤肉,4.8,820.0,71.0,和平路,融合烤肉,和平区
利丰源烤羊腿(万德庄店),4.5,2055.0,123.0,海光寺/六里台,烤羊腿,和平区
MAXIM’S马克西姆法餐厅(五大道店),4.8,2953.0,703.0,五大道,西餐,和平区
闸物志·弄堂里的味道,4.7,2514.0,100.0,和平路,创意菜,和平区
蟹黄面·三名草屋(河北路店),4.8,1960.0,196.0,滨江道,面馆,和平区
真悦居酒屋·炭火烤肉店,4.8,1693.0,130.0,大悦城,融合烤肉,和平区
盛江山自助烤肉,4.2,659.0,70.0,滨江道,烧烤烤串,和平区
暗号照旧海鲜麻小,4.9,760.0,120.0,西康路沿线,小龙虾,和平区
泰赞(和平大悦城店),4.7,8419.0,97.0,滨江道,东南亚菜,和平区
十五號大排档·打边炉(和平店),4.4,403.0,85.0,西康路沿线,粤菜馆,和平区
遇·四季椰子鸡(和平大悦城店),4.8,1051.0,97.0,五大道,火锅,和平区
红烟囱BBQ炭火烤肉(南市店),4.9,1964.0,86.0,南市,韩式烤肉,和平区
永元德传统铜火锅(长沙路店),4.2,42.0,67.0,五大道,老北京火锅,和平区
隐舍,4.0,98.0,80.0,五大道,川菜馆,和平区
胖哥俩肉蟹煲(天河城店),4.8,3664.0,84.0,和平路,肉蟹煲,和平区
徽湘印巷(五大道店),4.8,1259.0,104.0,五大道,徽菜,和平区
爱家味冰煮羊·蒙古羊排(万德庄店),4.9,1800.0,96.0,海光寺/六里台,烤串,和平区
久屋·奥庭,4.9,831.0,444.0,五大道,日本料理,和平区
九寸钉自助炭火烤肉·幻影旗舰店(恒隆店),4.7,8945.0,79.0,和平路,自助餐,和平区
纯粤(恒隆广场店),4.8,3545.0,109.0,和平路,粤菜馆,和平区
清真·古丽花儿·新疆美食(河南路店),4.9,4483.0,72.0,滨江道,新疆菜,和平区
三代烤肉(南开大悦城店),4.7,3777.0,123.0,南市,韩式烤肉,和平区
祖母的魔法厨房(天河城店),4.7,4359.0,78.0,和平路,西餐,和平区
必点海鲜·鲅鱼水饺(滨江道店),4.9,4505.0,170.0,和平路,海鲜,和平区
炉炉香饮食店(南市店),4.4,3964.0,15.0,南市,津味小吃,和平区
布拉格餐厅(民园店),4.4,2803.0,135.0,五大道,西餐,和平区
四季百味(和平店),4.7,201.0,145.0,五大道,天津菜,和平区
1981时尚西餐厅(西开教堂店),4.8,3858.0,143.0,滨江道,西餐,和平区
疆莱新疆餐厅(卫津路店),4.8,1317.0,65.0,南开大学/八里台,新疆菜,和平区
半天妖烤鱼(乐宾百货店),4.9,5615.0,81.0,滨江道,烤鱼,和平区
益尚鲜火锅鸡(万德庄直营店),4.7,772.0,52.0,海光寺/六里台,本地鸡窝火锅,和平区
饺子就酒,4.2,323.0,59.0,西康路沿线,其他中餐,和平区
清真古丽花儿·新疆风情(滨江道店),4.8,1585.0,72.0,和平路,新疆菜,和平区
三个渔夫•蒸汽海鲜(万德庄店),4.9,3482.0,193.0,海光寺/六里台,海鲜,和平区
盛辛巴·东北炭火烤肉(万德庄店),4.9,599.0,73.0,海光寺/六里台,融合烤肉,和平区
利丰源烤羊腿(小白楼店),4.4,87.0,86.0,小白楼,烤羊腿,和平区
这些年羊腿汤·烧烤(曲阜道店),4.8,3007.0,58.0,小白楼,烧烤烤串,和平区
晚酌翁草居.食·茶·酒(岳阳道店),4.9,1337.0,140.0,五大道,私房菜,和平区
