shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
梨花牛肉汤(国贸店),4.5,295,40,小白楼,快餐简餐
便宜坊烤鸭(凯德MALL店),4.1,6054,100,挂甲寺,烤鸭
津悦东方•正阳春烤鸭店(体北店),4.1,1292,86,宾水道/体院北,烤鸭
老姑砂锅(大沽南路店),4.5,413,80,下瓦房,烤串
西北汉子(体北店),4.6,4552,74,宾水道/体院北,西北民间菜
二姐家·酱烧水库大鲤鱼(大沽南路店),4.7,665,58,尖山,家常菜
羊门虎匠国潮涮肉,4.6,725,97,永安道沿线,老北京火锅
嘻韩小木屋餐厅,4.8,1731,88,小海地,韩式烤肉
三个渔夫•蒸汽海鲜(梅江店),4.9,4519,198,梅江小区,海鲜
半天妖烤鱼(河西怡乐天地店),4.8,205,66,挂甲寺,烤鱼
望海湾·鱼头泡饼(大沽南路店),4.3,2458,148,下瓦房,海鲜
三个渔夫•蒸汽海鲜(小白楼店),4.9,7297,179,图书大厦,海鲜
屯老二农家铁锅炖(环湖南道体北店),4.7,1600,104,宾水道/体院北,东北菜
好嘢港式街头火锅(河西店),4.8,3216,110,文化中心,打边炉/港式火锅
津门羊大爷·铜锅涮肉(体北店),4.2,180,86,宾水道/体院北,火锅
潮你妹潮汕砂锅粥(梅江店),4.8,1672,110,梅江小区,潮汕菜
郝奕博狮子头(河西店),4.6,596,66,小海地,天津菜
李记打边炉港式火锅·花胶鸡,4.5,173,83,梅江会展中心,打边炉/港式火锅
常德钵子菜·精品湘菜(河西店),4.6,279,74,围堤道沿线,湘菜
接头暗号(广东路店),4.7,2200,69,文化中心,川菜馆
和裕珍煲·怀旧粤菜·鱼生专家(恒基广场店),4.8,1522,116,文化中心,粤菜馆
鳗鳗の爱(凯德mall·天津湾店),4.8,5508,75,挂甲寺,日本料理
六識,4.8,781,244,梅江会展中心,台湾菜
半天妖烤鱼(泉汇购物广场店),4.8,249,83,小海地,烤鱼
红旗饭庄(河西店),4.0,2335,89,围堤道沿线,天津菜
津韵巷子·卤煮小酒馆,3.6,45,26,图书大厦,京菜
天津百饺园酒楼(平山道店),4.5,5683,74,南开大学/八里台,天津菜
清真·老四爆肚(河西店),4.5,748,59,下瓦房,特色菜
礼舍·和牛火锅料理(下瓦房店),4.5,133,122,南楼,火锅
金夫餐厅,4.7,885,65,尖山,天津菜
喜相悦渔家庄(陈塘庄店),4.1,237,83,尖山,海鲜
