shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
天牧涮肉坊,3.6,2,,静海区/大邱庄,火锅
福华肥牛(静海总店),4.0,91,114.0,西城,火锅
三哥铜锅炖,3.5,12,,静海县城/东城,火锅
宏福顺涮羊肉(团泊湖店),3.8,4,,团泊湖/光合谷度假区,老北京火锅
万舟烤鱼,3.5,68,30.0,静海县城/东城,烤鱼
星期八音乐餐厅,3.6,1,,团泊湖/光合谷度假区,其他中餐
雍阳伊兰饭庄,3.5,7,,西城,其他中餐
水晶逸饭店(东方红路店),3.7,125,74.0,静海县城/东城,川菜馆
谷田融合菜(地纬路店),3.7,61,94.0,静海县城/东城,特色菜
任吉老砂锅(静海店),3.8,1,,西城,火锅
香飘飘香老崔叉骨,3.7,2,,静海县城/东城,炸鸡炸串
王口大酒店(静海镇店),3.5,23,47.0,静海县城/东城,天津菜
老街咖啡,3.8,5,,西城,面包烘焙
正宗湖南菜,3.8,7,,静海县城/东城,湘菜
太和壹品(静海店),3.5,5,,静海县城/东城,小龙虾
岳大府串串香自助火锅(东城店),3.8,262,66.0,静海县城/东城,自助餐
川味饭店,3.5,1,40.0,西城,川菜馆
有家鱼饭庄沸腾鱼·川菜·酸菜鱼(静海店),3.9,50,,静海县城/东城,酸菜鱼/水煮鱼
大锅炖牛骨,3.5,2,,静海县城/东城,小吃快餐
一品香火锅鸡,3.7,10,,西城,火锅
清竹林农家院(大邱庄店),3.8,82,57.0,静海区/大邱庄,天津菜
鱼肚白自助烤肉(大邱庄),3.3,75,86.0,静海区/大邱庄,烧烤烤串
禧顺70、80地摊烤肉,3.6,10,,静海县城/东城,融合烤肉
骨味佳砂锅,3.5,6,,静海县城/东城,火锅
特中特炖活鱼大锅炖,3.8,8,,静海县城/东城,烤鱼
福华肥牛城(海岚大厦东南店),3.7,9,,西城,火锅
老宋一锅出(静海店),3.9,25,43.0,静海区其他,东北菜
星期8(静海店),3.9,81,56.0,团泊湖/光合谷度假区,特色菜
