shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
陈家屯火锅鸡(佳园里总店),4.0,625,75.0,西横堤/瑞景新天地,炭火锅
江南公社概念湘菜,3.8,181,65.0,双街,湘菜
吉味轩(瑞宁嘉园店),4.6,1270,62.0,刘园,天津菜
中宝餐厅·紫陌苑,4.5,179,73.0,天穆,特色菜
丽涛海鲜酒楼,4.0,84,94.0,小淀,特色菜
会芳楼(北辰店),4.2,191,90.0,天穆,特色菜
晟园饭店,4.0,25,53.0,杨柳青,特色菜
烤肉时代,3.9,35,,北仓,融合烤肉
木槿花牛排自助烤肉(双街店),3.3,604,66.0,双街,烧烤烤串
天柱海鲜大饭店(双街店),4.3,297,90.0,双街,海鲜
牛魔王烤肉(普东街店),3.9,58,80.0,宜兴埠,融合烤肉
文利铁锅炖鱼,3.2,6,,北仓,东北菜
津门羊大爷·铜锅涮肉(普东店),4.3,375,83.0,宜兴埠,老北京火锅
长今家·正宗韩式烤肉(双街店),4.5,319,88.0,双街,韩国料理
正阳春烤鸭(双街柴楼店),4.1,360,80.0,双街,烤鸭
恩来顺(普润店),3.8,43,83.0,宜兴埠,炭火锅
我叫湘(刘快庄店),3.8,15,,西堤头,湘菜
沧州火锅鸡(悦金店),4.7,463,61.0,杨柳青,火锅
津门羊大爷·铜锅涮肉(北辰总店),3.9,290,104.0,天穆,老北京火锅
徽湘馆(双街店),3.7,31,,双街,湘菜
天时利酒楼,4.6,355,74.0,北辰区,天津菜
九炭鲜齐齐哈尔烤肉,3.5,14,,北仓,融合烤肉
陈家屯火锅鸡(柴楼店),4.0,69,72.0,双街,炭火锅
香悦园香品海鲜酒楼,4.1,265,65.0,刘园,海鲜
木屋烧烤(双街店),4.1,444,85.0,双街,烤串
大春农家院,4.1,123,66.0,北辰区,天津菜
清真·千木日式料理店(果园店),4.8,750,109.0,北仓,日本料理
桢炭烤肉(宜白路店),3.6,32,86.0,铁东路街,融合烤肉
哥·传说地锅炖,3.7,35,,杨柳青,东北菜
清真·益尚鲜火锅鸡宵夜(刘园直营店),3.9,109,58.0,刘园,本地鸡窝火锅
余乐圈火锅鸡·鸡煲•烧烤(北辰集贤店),4.8,629,55.0,北仓,炭火锅
