shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
伊顺传统火锅(宁河店),3.4,3,,宁河区贸易开发区,火锅
川江火锅城,0.0,,,汉沽城区,火锅
宁河味道,0.0,,,镇政府,快餐简餐
君缘阁,0.0,,,宁河区,鱼火锅
满月石板烤肉(金翠路店),4.8,400,95.0,商业道,韩式烤肉
法式风味牛排饭烤肉拌饭(宁河店),0.0,,,镇政府,牛排
晓芹大连海参(芦台店),3.0,￥100/人,,镇政府,海鲜
嗨吃嗨涮自助火锅,0.0,,,宁河区,自助餐
趣味捞抚顺麻辣拌,0.0,,,镇政府,麻辣烫
马记羊汤大饼卷肉,3.5,6,,宁河区,快餐简餐
阳光海鲜大排档,0.0,,,宁河区,海鲜
小南门羊蝎子涮锅(宁河店),3.4,1,,镇政府,羊蝎子火锅
驴小二·筋头巴脑驴蝎子(宁河区店),0.0,,,镇政府,四川火锅
嗨鸽,0.0,,,宁河区,烧烤烤串
老四川.地滩鱼(宁河湾店),3.5,1,,宁河区,鱼火锅
成都108牛蛙火锅(芦台店),3.2,1,,镇政府,四川火锅
川妹子家常菜,0.0,,,宁河区,家常菜
艾啃羊棒骨小酒馆,0.0,,,镇政府,东北菜
泛马海鲜城,3.0,,,镇政府,海鲜
清合居火锅川菜(宁河店),3.5,6,,宁河区,四川火锅
九宫格火锅烧烤,0.0,,,宁河区,重庆火锅
九田家黑牛烤肉料理(宁河吾悦广场店),3.6,11,,宁河区贸易开发区,韩式烤肉
成都美食,0.0,,,宁河区,川菜馆
干杯烤肉料理(吾悦广场店),3.7,69,,宁河区贸易开发区,韩式烤肉
祥记羊杂馆,0.0,￥50/人,,镇政府,快餐简餐
宁河宾馆-中餐厅,3.6,12,,镇政府,其他中餐
私房菜,0.0,,,宁河区,私房菜
辣妹子,3.5,47,53.0,商业道,川菜馆
人民公社食堂,0.0,￥66/人,,宁河区贸易开发区,东北菜
热炕头铁锅炖(光明路店),3.6,12,,镇政府,东北菜
南洋大师傅(吾悦广场店),3.6,2,,宁河区贸易开发区,面包烘焙
老王头·自助水饺(宁新花园店),3.6,2,,宁河区贸易开发区,自助餐
砂锅系列小吃小菜夜宵,0.0,,,宁河区,东北菜
刘记流河火锅鸡,0.0,,,镇政府,火锅
津珍阁庄园(宁河店),3.8,51,67.0,宁河区,天津菜
正阳春烤鸭店（金翠路店）(百年老店),3.4,8,,宁河区,天津菜
帅哥羊肉,0.0,,,镇政府,牛羊肉火锅
超弟烤肉(芦台店),3.4,3,,镇政府,韩式烤肉
冯记王婆大虾,0.0,,,宁河区,海鲜火锅
桦南大碗麻辣烫,0.0,,,镇政府,麻辣烫
满景楼烤鸭店,3.5,5,,华翠公园,烤鸭
德宜盛北京烤鸭(宁河店),3.5,18,,镇政府,烤鸭
鹿羊轩火锅(新华道店),0.0,,,镇政府,老北京火锅
大岭一锅鲜(宁河店),3.4,,,镇政府,火锅
宝子菜馆(金华路店),0.0,,,宁海花园,其他美食
壹间茶度,0.0,,,商业道,茶饮果汁
锋鑫火锅,0.0,,,镇政府,火锅
大亮羊传统文化火锅(宁河店),3.8,15,,宁河区,牛羊肉火锅
姜家味熟食店,0.0,,,镇政府,熟食熏酱
灶台福铁锅炖,0.0,,,镇政府,东北菜
建设路市井老火锅,0.0,,,镇政府,重庆火锅
东北鲜炖王,0.0,,,镇政府,东北菜
香坊小馆,0.0,,,商业道,其他中餐
蜀张一派斑鱼大虾(宁河旗舰店),4.0,549,112.0,商业道,鱼火锅
鈺木村井食刺身寿司铁板烧,3.7,25,,镇政府,日本料理
醉君阁妈妈菜,3.9,24,,镇政府,东北菜
小刚饭店(沿河路店),3.4,1,,镇政府,其他中餐
羊家逸事铜锅涮肉·烧烤(宁河店),3.7,6,,镇政府,牛羊肉火锅
晓巷子饭店(宁河店),3.7,14,81.0,镇政府,苏浙菜
宏顺传统火锅(宁河店),3.6,3,,宁海花园,炭火锅
杨子烧烤(三八河路店),0.0,,,商业道,烧烤烤串
怡品园火锅店,0.0,,,宁河区,小火锅
鱼德宝·斑鱼火锅(芦台店),3.4,9,,镇政府,鱼火锅
腾海河蟹垂钓园(七里海店),0.0,,,七里海,海鲜
雪儿饭店,0.0,,,宁河区,东北菜
蜀味轩石锅鱼,0.0,,,宁河区,鱼火锅
尚缘酒楼,3.4,4,,宁河区贸易开发区,其他美食
天津市宁河区紫薇饭店,0.0,,,宁河区,其他美食
文爽鱼馆,0.0,,,七里海,海鲜
三只松鼠(吾悦广场店),3.5,1,,镇政府,零食
五爷拌面(天津市宁河区吾悦广场店),3.5,4,,宁河区贸易开发区,面馆
暗号麻小(芦台店),3.7,105,97.0,商业道,其他中餐
聚客源烧烤,0.0,,,宁河区贸易开发区,烧烤烤串
喜家禾,0.0,,,宁河区贸易开发区,火锅
居膳坊火锅(宁河店),0.0,,,商业道,四川火锅
家常菜砂锅(汉沽店),0.0,,,宁河区,东北菜
胖馨螺蛳粉(幸福广场店),0.0,3,,镇政府,小吃快餐
鼎火香辣牛蛙,3.4,1,,镇政府,干锅/香锅
奶茶店(震新路店),0.0,,,镇政府,茶饮果汁
小康菜馆(未来城店),0.0,,,宁河区,其他美食
不见不散麻辣小龙虾,3.5,2,,镇政府,小龙虾
鑫恒牛蛙火锅,0.0,,,宁河区,四川火锅
