shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category
渝湘江南(王串场店),4.7,2797.0,71.0,王串场/民权门,川菜馆
玺越多彩·津鲁菜,4.2,85.0,75.0,大胡同/天津之眼,天津菜
小河边水煮鱼总店,4.7,1703.0,63.0,王串场/民权门,酸菜鱼/水煮鱼
认一民(江都路店),4.3,166.0,79.0,常州道,天津菜
小猪查理川式烤肉(中山路店),4.6,696.0,71.0,中山路,烧烤烤串
蜀风园小9馆,4.6,384.0,41.0,狮子林大街,天津菜
铃兰1915公馆(意大利风情街店),4.4,1285.0,277.0,意大利风情区/火车站,特色菜
津韵巷子卤煮火烧(正义道店),4.7,626.0,47.0,王串场/民权门,京菜
益尚鲜火锅鸡·夜宵(河北直营店),4.7,811.0,54.0,狮子林大街,本地鸡窝火锅
仙人渡,4.4,1046.0,75.0,王串场/民权门,天津菜
渔香小磨(金纬路店),4.7,753.0,68.0,中山路,天津菜
绍兴老菜(金钟河大街店),3.8,317.0,87.0,王串场/民权门,浙菜
鱼酷活鱼烤鱼(万福生活广场北宁湾店),4.9,1001.0,101.0,铁东路街,烤鱼
彤彤海鲜鱼馆,4.6,2495.0,149.0,中山路,海鲜
半天妖烤鱼(天津中山路店),4.9,737.0,77.0,中山路,烤鱼
小河边水煮鱼旗舰店,4.6,641.0,71.0,王串场/民权门,酸菜鱼/水煮鱼
粤祥聚融合菜,4.5,87.0,66.0,狮子林大街,特色菜
麻辣港湾(北辰分店),4.8,846.0,68.0,河北区,川菜馆
桢炭烤肉(天津总店),4.9,2432.0,96.0,王串场/民权门,融合烤肉
五道肉烤肉名家,3.8,79.0,81.0,天泰路/榆关道,韩式烤肉
鸭溪大酒楼(河北店),4.2,937.0,72.0,王串场/民权门,天津菜
芳竹园火锅(北宁公园店),4.9,2195.0,62.0,王串场/民权门,四川火锅
金厨家宴(真理道店),4.6,772.0,52.0,王串场/民权门,天津菜
金正串烧(宜白路店),4.7,1975.0,84.0,铁东路街,烧烤烤串
红蜡烛海鲜粥城·24小时餐厅(中山路店),4.1,2081.0,66.0,中山路,天津菜
年代餐厅,4.3,553.0,64.0,王串场/民权门,天津菜
宏都海鲜家常菜·打边炉,3.7,210.0,79.0,中山路,海鲜
喜福缘私房菜,4.0,56.0,120.0,大胡同/天津之眼,私房菜
正川福火锅烤肉自助(北辰店),4.0,2289.0,54.0,铁东路街,自助餐
牛魔王烤肉(宜白路店),4.7,329.0,107.0,铁东路街,融合烤肉
赵财记·肠粉·煲仔饭(北宁湾店),4.2,102.0,48.0,铁东路街,广州菜
大伟河蟹海蟹专卖,4.8,519.0,107.0,王串场/民权门,海鲜
特色牛蛙火锅(北宁湾总店),4.7,764.0,93.0,铁东路街,炭火锅
聚湘楼,4.0,44.0,62.0,王串场/民权门,湘菜
阿里郎炭火烤肉(金纬路店),4.5,215.0,62.0,狮子林大街,融合烤肉
王牌大虾(金纬路总店),4.6,2000.0,77.0,中山路,虾蟹火锅
肘子酥(安定里总店),4.7,1606.0,65.0,大胡同/天津之眼,天津菜
鼎沸香大铜锅,3.8,50.0,,铁东路街,老北京火锅
陈家屯火锅鸡 • 夜宵(狮子林大街店),4.3,1049.0,86.0,狮子林大街,炭火锅
海底捞火锅(诗景广场店),4.9,1187.0,96.0,王串场/民权门,四川火锅
木屋烧烤(中山路店),4.6,679.0,79.0,中山路,烤串
百年永元德•烧烤涮,4.3,900.0,84.0,狮子林大街,炭火锅
隐の竹居酒屋,4.5,559.0,149.0,意大利风情区/火车站,日本料理
福建海鲜馆(六号路店),4.6,615.0,91.0,王串场/民权门,海鲜
记忆老火锅(总店),4.8,5200.0,86.0,中山路,重庆火锅
老味香旮旯烧烤·夜宵·砂锅·小龙虾,3.9,26.0,,狮子林大街,烤串
老津味锅贴居(盐坨桥店),4.4,471.0,46.0,铁东路街,天津菜
并蒂莲·禅意蔬食艺术餐厅,4.8,2421.0,136.0,大胡同/天津之眼,素食
刁馋一锅鲜·津门招牌菜(北宁湾店),4.7,2020.0,75.0,铁东路街,天津菜
郝奕博狮子头(民权门店),4.6,399.0,56.0,王串场/民权门,天津菜
惠宾饭庄(宙纬路店),4.5,1137.0,69.0,中山路,天津菜
小河边水煮鱼,4.1,138.0,65.0,王串场/民权门,酸菜鱼/水煮鱼
益尚鲜火锅鸡(靖江路店),4.7,342.0,53.0,王串场/民权门,本地鸡窝火锅
王婆大虾(万福生活广场店),3.9,553.0,71.0,铁东路街,火锅
塞纳河法国餐厅,4.8,4316.0,345.0,意大利风情区/火车站,西餐
鸿运阁私房菜,3.8,9.0,,中山路,私房菜
五饼二鱼(北宁湾万福广场店),4.7,598.0,88.0,铁东路街,日本料理
70年代东北农家铁锅炖,4.3,446.0,65.0,中山路,东北菜
津门羊大爷·铜锅涮肉(金纬路店),4.6,646.0,84.0,中山路,老北京火锅
贵夫人食府,3.7,54.0,48.0,天泰路/榆关道,家常菜
巴伐利亚啤酒坊(意风街店),4.4,2258.0,160.0,意大利风情区/火车站,西餐
九紫烤鸭(意式风情街店),4.7,1096.0,204.0,意大利风情区/火车站,烤鸭
中山酒店,4.2,37.0,48.0,中山路,天津菜
刁馋一锅鲜·津门招牌菜(铁建广场店),4.6,732.0,70.0,王串场/民权门,天津菜
金正串烧(中山路店),4.6,1771.0,83.0,中山路,烧烤烤串
友达面馆(河北店),4.8,1059.0,56.0,中山路,面馆
老七饭馆(河北店),4.2,150.0,48.0,中山路,家常菜
渝津香火锅鸡涮羊肉,3.7,19.0,,中山路,本地鸡窝火锅
叉叉裤重庆火锅(北宁湾店),3.6,36.0,84.0,铁东路街,重庆火锅
蓝鳍音乐烧烤餐厅,4.5,950.0,126.0,意大利风情区/火车站,牛排
胖大厨百姓家宴,4.1,100.0,50.0,王串场/民权门,家常菜
九十九米·脆皮香辣烤鱼(宜白路店),4.7,160.0,54.0,天泰路/榆关道,烤鱼
天味楼饭庄(江都路店),4.5,643.0,38.0,王串场/民权门,天津菜
津门8号小酒馆,3.9,32.0,,王串场/民权门,天津菜
牛本家传统烤肉(河北店),4.2,110.0,67.0,中山路,韩式烤肉
怪之味烤鱼(王串场店),4.1,219.0,47.0,王串场/民权门,烤鱼
超级神牛炭火烤肉(总店),4.6,837.0,75.0,王串场/民权门,韩式烤肉
小明私厨,4.0,9.0,,王串场/民权门,私房菜
正阳春鸭子楼(靖江路店),4.0,486.0,65.0,王串场/民权门,天津菜
鱿鱼才子,4.6,717.0,26.0,王串场/民权门,小吃
这些年羊腿汤·烧烤(中山路店),4.8,692.0,58.0,中山路,烧烤烤串
恩来顺涮羊肉(增产道店),4.9,795.0,81.0,王串场/民权门,老北京火锅
津门铁签子九毛小串榆关道店,4.0,124.0,59.0,天泰路/榆关道,烤串
齐齐哈尔烤肉(翔纬路店),4.1,27.0,87.0,狮子林大街,融合烤肉
超越火锅鸡(河北店),4.4,56.0,72.0,王串场/民权门,火锅
有家·烤肉(中山路店),4.6,851.0,99.0,中山路,融合烤肉
大姐家馅饼小碗炖(江都路店),3.7,40.0,96.0,王串场/民权门,牛羊肉火锅
川鲁津九块九饭店,3.8,24.0,,狮子林大街,天津菜
王牌大虾(真理道店),4.8,1039.0,86.0,王串场/民权门,火锅
桢炭烤肉(宜白路店),3.6,33.0,87.0,铁东路街,融合烤肉
嘟嘟生鲜(榆关道店),4.2,145.0,63.0,天泰路/榆关道,生鲜
山西马家店河北店,4.5,399.0,52.0,天泰路/榆关道,山西菜
锡盟苏尼特涮府,4.5,322.0,108.0,狮子林大街,老北京火锅
弗拉门戈西班牙餐厅酒吧,4.2,1596.0,193.0,意大利风情区/火车站,西餐
百姓食堂,3.8,29.0,,金钟河大街,家常菜
