shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
大吉利·潮汕牛肉火锅,4.9,15753,94,海光寺/六里台,火锅,和平区
门口小院大鱼泡饼特色狮子头家常菜,4.0,19,52,海光寺/六里台,天津菜,和平区
香炖八方·妈妈菜,4.1,422,64,西康路沿线,天津菜,和平区
La Fleur用心,4.9,8349,185,五大道,西餐,和平区
新疆阿里餐厅,4.5,2791,59,西康路沿线,新疆菜,和平区
人民公社大食堂,4.2,394,85,南市,东北菜,和平区
宝月楼台湾菜馆·海鲜家宴,4.8,5343,161,五大道,海鲜,和平区
青年餐厅,4.5,14519,95,和平路,烤鸭,和平区
海底捞火锅,4.9,2988,95,滨江道,火锅,和平区
肘子酥,4.7,1851,62,和平路,天津菜,和平区
铁真红焖羊肉 无分店,4.7,6799,33,西康路沿线,火锅,和平区
假装苏杭·桂雨山房,4.5,2938,119,和平路,苏浙菜,和平区
大悦屋,4.7,412,108,五大道,日本料理,和平区
七味活牛蛙·干锅牛蛙旗舰店,4.9,1692,91,五大道,川菜馆,和平区
唐潮壹品,4.7,1743,343,小白楼,海鲜,和平区
通海俄式烧烤,4.9,1694,79,滨江道,烤串,和平区
金叉子印度餐厅,4.4,1509,116,西康路沿线,东南亚菜,和平区
回奶奶清真菜,4.6,886,80,五大道,天津菜,和平区
德粤楼·猪肚鸡,4.7,697,102,滨江道,顺德菜,和平区
简坐,4.7,11119,89,滨江道,上海本帮菜,和平区
莎莎salsa·中国潮·酥皮烤鸭,4.9,3474,78,五大道,特色菜,和平区
膳堂琨小館,4.8,947,112,小白楼,烤串,和平区
宝月楼·台湾菜馆,4.7,6544,81,和平路,台湾菜,和平区
炙上烤肉,4.8,820,71,和平路,融合烤肉,和平区
利丰源烤羊腿,4.5,2055,123,海光寺/六里台,烤羊腿,和平区
MAXIM’S马克西姆法餐厅,4.8,2953,703,五大道,西餐,和平区
闸物志·弄堂里的味道,4.7,2514,100,和平路,创意菜,和平区
蟹黄面·三名草屋,4.8,1960,196,滨江道,面馆,和平区
真悦居酒屋·炭火烤肉店,4.8,1693,130,大悦城,融合烤肉,和平区
盛江山自助烤肉,4.2,659,70,滨江道,烧烤烤串,和平区
暗号照旧海鲜麻小,4.9,760,120,西康路沿线,小龙虾,和平区
泰赞,4.7,8419,97,滨江道,东南亚菜,和平区
十五號大排档·打边炉,4.4,403,85,西康路沿线,粤菜馆,和平区
遇·四季椰子鸡,4.8,1051,97,五大道,火锅,和平区
红烟囱BBQ炭火烤肉,4.9,1964,86,南市,韩国料理,和平区
永元德传统铜火锅,4.2,42,67,五大道,火锅,和平区
隐舍,4.0,98,80,五大道,川菜馆,和平区
胖哥俩肉蟹煲,4.8,3664,84,和平路,肉蟹煲,和平区
徽湘印巷,4.8,1259,104,五大道,徽菜,和平区
爱家味冰煮羊·蒙古羊排,4.9,1800,96,海光寺/六里台,烤串,和平区
久屋·奥庭,4.9,831,444,五大道,日本料理,和平区
九寸钉自助炭火烤肉·幻影旗舰店,4.7,8945,79,和平路,自助餐,和平区
纯粤,4.8,3545,109,和平路,粤菜馆,和平区
清真·古丽花儿·新疆美食,4.9,4483,72,滨江道,新疆菜,和平区
三代烤肉,4.7,3777,123,南市,韩国料理,和平区
祖母的魔法厨房,4.7,4359,78,和平路,西餐,和平区
必点海鲜·鲅鱼水饺,4.9,4505,170,和平路,海鲜,和平区
炉炉香饮食店,4.4,3964,15,南市,津味小吃,和平区
布拉格餐厅,4.4,2803,135,五大道,西餐,和平区
四季百味,4.7,201,145,五大道,天津菜,和平区
1981时尚西餐厅,4.8,3858,143,滨江道,西餐,和平区
疆莱新疆餐厅,4.8,1317,65,南开大学/八里台,新疆菜,和平区
半天妖烤鱼,4.9,5615,81,滨江道,烤鱼,和平区
益尚鲜火锅鸡,4.7,772,52,海光寺/六里台,火锅,和平区
饺子就酒,4.2,323,59,西康路沿线,其他中餐,和平区
清真古丽花儿·新疆风情,4.8,1585,72,和平路,新疆菜,和平区
三个渔夫•蒸汽海鲜,4.9,3482,193,海光寺/六里台,海鲜,和平区
盛辛巴·东北炭火烤肉,4.9,599,73,海光寺/六里台,融合烤肉,和平区
利丰源烤羊腿,4.4,87,86,小白楼,烤羊腿,和平区
这些年羊腿汤·烧烤,4.8,3007,58,小白楼,烧烤烤串,和平区
晚酌翁草居.食·茶·酒,4.9,1337,140,五大道,私房菜,和平区
晋乡居,4.4,1047,52,小白楼,山西菜,和平区
和平十九号家宴,4.6,420,58,五大道,天津菜,和平区
铁真老姑红焖羊肉·刨冰王,4.7,2193,50,南市,火锅,和平区
徽菜名门,4.5,681,139,五大道,徽菜,和平区
桥头堡·坤德餐厅,4.6,662,70,五大道,天津菜,和平区
雀舞云南菜,4.8,6682,82,和平路,云南菜|滇菜,和平区
鹅城粤菜馆,4.4,539,99,海光寺/六里台,顺德菜,和平区
小伦敦,4.6,1875,105,五大道,西餐,和平区
只此一家纸上烤肉,4.9,1905,96,海光寺/六里台,融合烤肉,和平区
贰楼烤肉,4.8,1625,101,南开大学/八里台,融合烤肉,和平区
度小月,4.5,16711,78,和平路,台湾菜,和平区
